,Customer ID
0,12359.0
1,12402.0
2,12409.0
3,12417.0
4,12422.0
5,12435.0
6,12437.0
7,12454.0
8,12476.0
9,12500.0
10,12524.0
11,12530.0
12,12573.0
13,12577.0
14,12589.0
15,12599.0
16,12613.0
17,12615.0
18,12623.0
19,12643.0
20,12645.0
21,12649.0
22,12676.0
23,12705.0
24,12714.0
25,12726.0
26,12749.0
27,12759.0
28,12805.0
29,12806.0
30,12820.0
31,12823.0
32,12835.0
33,12836.0
34,12843.0
35,12849.0
36,12853.0
37,12867.0
38,12877.0
39,12889.0
40,12917.0
41,12924.0
42,12926.0
43,12931.0
44,12933.0
45,12949.0
46,12951.0
47,12960.0
48,12970.0
49,12972.0
50,12978.0
51,12980.0
52,12982.0
53,12986.0
54,12989.0
55,12990.0
56,12997.0
57,13001.0
58,13004.0
59,13018.0
60,13027.0
61,13031.0
62,13032.0
63,13037.0
64,13052.0
65,13059.0
66,13082.0
67,13092.0
68,13097.0
69,13107.0
70,13131.0
71,13137.0
72,13141.0
73,13148.0
74,13152.0
75,13157.0
76,13162.0
77,13178.0
78,13183.0
79,13202.0
80,13203.0
81,13206.0
82,13211.0
83,13213.0
84,13214.0
85,13223.0
86,13225.0
87,13246.0
88,13249.0
89,13259.0
90,13263.0
91,13266.0
92,13291.0
93,13293.0
94,13296.0
95,13316.0
96,13317.0
97,13324.0
98,13340.0
99,13360.0
100,13382.0
101,13384.0
102,13410.0
103,13421.0
104,13426.0
105,13431.0
106,13440.0
107,13446.0
108,13451.0
109,13462.0
110,13464.0
111,13466.0
112,13527.0
113,13538.0
114,13539.0
115,13544.0
116,13552.0
117,13554.0
118,13557.0
119,13561.0
120,13562.0
121,13567.0
122,13571.0
123,13577.0
124,13591.0
125,13593.0
126,13610.0
127,13615.0
128,13617.0
129,13623.0
130,13629.0
131,13643.0
132,13648.0
133,13654.0
134,13658.0
135,13659.0
136,13662.0
137,13663.0
138,13668.0
139,13711.0
140,13719.0
141,13722.0
142,13723.0
143,13728.0
144,13736.0
145,13740.0
146,13750.0
147,13770.0
148,13772.0
149,13785.0
150,13795.0
151,13815.0
152,13821.0
153,13823.0
154,13857.0
155,13869.0
156,13870.0
157,13871.0
158,13873.0
159,13875.0
160,13883.0
161,13888.0
162,13889.0
163,13920.0
164,13921.0
165,13929.0
166,13931.0
167,13939.0
168,13952.0
169,13953.0
170,13971.0
171,13975.0
172,13979.0
173,14000.0
174,14004.0
175,14016.0
176,14035.0
177,14040.0
178,14044.0
179,14049.0
180,14057.0
181,14064.0
182,14080.0
183,14101.0
184,14105.0
185,14110.0
186,14114.0
187,14129.0
188,14134.0
189,14136.0
190,14146.0
191,14147.0
192,14152.0
193,14154.0
194,14175.0
195,14177.0
196,14186.0
197,14194.0
198,14198.0
199,14205.0
200,14209.0
201,14211.0
202,14224.0
203,14225.0
204,14227.0
205,14229.0
206,14239.0
207,14247.0
208,14249.0
209,14257.0
210,14258.0
211,14275.0
212,14276.0
213,14277.0
214,14286.0
215,14291.0
216,14292.0
217,14316.0
218,14322.0
219,14327.0
220,14334.0
221,14341.0
222,14343.0
223,14399.0
224,14401.0
225,14426.0
226,14442.0
227,14451.0
228,14455.0
229,14460.0
230,14461.0
231,14465.0
232,14467.0
233,14469.0
234,14478.0
235,14492.0
236,14493.0
237,14498.0
238,14505.0
239,14512.0
240,14515.0
241,14524.0
242,14525.0
243,14530.0
244,14532.0
245,14533.0
246,14534.0
247,14535.0
248,14541.0
249,14543.0
250,14551.0
251,14553.0
252,14555.0
253,14562.0
254,14572.0
255,14584.0
256,14585.0
257,14590.0
258,14593.0
259,14609.0
260,14615.0
261,14623.0
262,14624.0
263,14626.0
264,14640.0
265,14644.0
266,14648.0
267,14649.0
268,14651.0
269,14676.0
270,14682.0
271,14686.0
272,14692.0
273,14693.0
274,14732.0
275,14734.0
276,14735.0
277,14740.0
278,14746.0
279,14754.0
280,14755.0
281,14769.0
282,14776.0
283,14798.0
284,14817.0
285,14820.0
286,14828.0
287,14844.0
288,14850.0
289,14852.0
290,14854.0
291,14861.0
292,14867.0
293,14868.0
294,14869.0
295,14870.0
296,14882.0
297,14895.0
298,14897.0
299,14912.0
300,14913.0
301,14916.0
302,14918.0
303,14936.0
304,14942.0
305,14944.0
306,14947.0
307,14952.0
308,14966.0
309,14970.0
310,14978.0
311,14984.0
312,14988.0
313,14994.0
314,15016.0
315,15027.0
316,15030.0
317,15031.0
318,15034.0
319,15046.0
320,15062.0
321,15064.0
322,15073.0
323,15095.0
324,15122.0
325,15129.0
326,15142.0
327,15159.0
328,15164.0
329,15167.0
330,15173.0
331,15179.0
332,15182.0
333,15189.0
334,15203.0
335,15215.0
336,15218.0
337,15227.0
338,15245.0
339,15249.0
340,15251.0
341,15255.0
342,15270.0
343,15279.0
344,15290.0
345,15296.0
346,15312.0
347,15325.0
348,15339.0
349,15365.0
350,15366.0
351,15367.0
352,15377.0
353,15389.0
354,15394.0
355,15402.0
356,15420.0
357,15421.0
358,15425.0
359,15439.0
360,15456.0
361,15476.0
362,15482.0
363,15483.0
364,15489.0
365,15493.0
366,15497.0
367,15521.0
368,15523.0
369,15527.0
370,15549.0
371,15551.0
372,15561.0
373,15569.0
374,15571.0
375,15590.0
376,15600.0
377,15606.0
378,15611.0
379,15615.0
380,15622.0
381,15623.0
382,15637.0
383,15641.0
384,15652.0
385,15674.0
386,15696.0
387,15717.0
388,15719.0
389,15727.0
390,15757.0
391,15774.0
392,15789.0
393,15795.0
394,15805.0
395,15810.0
396,15812.0
397,15819.0
398,15841.0
399,15874.0
400,15879.0
401,15885.0
402,15890.0
403,15910.0
404,15920.0
405,15971.0
406,15976.0
407,15981.0
408,15998.0
409,16003.0
410,16008.0
411,16017.0
412,16019.0
413,16040.0
414,16045.0
415,16053.0
416,16085.0
417,16087.0
418,16099.0
419,16103.0
420,16104.0
421,16115.0
422,16119.0
423,16128.0
424,16130.0
425,16145.0
426,16147.0
427,16153.0
428,16155.0
429,16156.0
430,16167.0
431,16170.0
432,16176.0
433,16190.0
434,16199.0
435,16200.0
436,16202.0
437,16206.0
438,16208.0
439,16209.0
440,16225.0
441,16229.0
442,16239.0
443,16242.0
444,16253.0
445,16258.0
446,16266.0
447,16279.0
448,16292.0
449,16298.0
450,16303.0
451,16316.0
452,16325.0
453,16326.0
454,16329.0
455,16330.0
456,16331.0
457,16332.0
458,16336.0
459,16347.0
460,16351.0
461,16372.0
462,16374.0
463,16383.0
464,16387.0
465,16391.0
466,16395.0
467,16400.0
468,16407.0
469,16409.0
470,16412.0
471,16414.0
472,16416.0
473,16428.0
474,16430.0
475,16441.0
476,16444.0
477,16445.0
478,16466.0
479,16470.0
480,16471.0
481,16485.0
482,16496.0
483,16497.0
484,16503.0
485,16511.0
486,16521.0
487,16523.0
488,16531.0
489,16549.0
490,16551.0
491,16553.0
492,16554.0
493,16560.0
494,16563.0
495,16565.0
496,16571.0
497,16584.0
498,16588.0
499,16593.0
500,16607.0
501,16611.0
502,16619.0
503,16620.0
504,16623.0
505,16625.0
506,16650.0
507,16652.0
508,16655.0
509,16656.0
510,16660.0
511,16668.0
512,16670.0
513,16686.0
514,16693.0
515,16699.0
516,16701.0
517,16702.0
518,16705.0
519,16707.0
520,16727.0
521,16732.0
522,16735.0
523,16746.0
524,16748.0
525,16756.0
526,16767.0
527,16768.0
528,16772.0
529,16774.0
530,16777.0
531,16787.0
532,16788.0
533,16791.0
534,16792.0
535,16794.0
536,16797.0
537,16809.0
538,16823.0
539,16827.0
540,16841.0
541,16843.0
542,16859.0
543,16861.0
544,16868.0
545,16872.0
546,16873.0
547,16888.0
548,16889.0
549,16906.0
550,16912.0
551,16915.0
552,16918.0
553,16933.0
554,16934.0
555,16935.0
556,16938.0
557,16945.0
558,16946.0
559,16948.0
560,16960.0
561,16975.0
562,16977.0
563,16979.0
564,16984.0
565,16992.0
566,16996.0
567,17003.0
568,17006.0
569,17018.0
570,17023.0
571,17029.0
572,17041.0
573,17047.0
574,17063.0
575,17071.0
576,17075.0
577,17076.0
578,17081.0
579,17082.0
580,17083.0
581,17095.0
582,17096.0
583,17098.0
584,17101.0
585,17107.0
586,17122.0
587,17126.0
588,17127.0
589,17137.0
590,17138.0
591,17139.0
592,17141.0
593,17142.0
594,17146.0
595,17165.0
596,17179.0
597,17180.0
598,17190.0
599,17200.0
600,17203.0
601,17220.0
602,17231.0
603,17236.0
604,17239.0
605,17241.0
606,17244.0
607,17288.0
608,17290.0
609,17293.0
610,17307.0
611,17311.0
612,17314.0
613,17321.0
614,17323.0
615,17349.0
616,17350.0
617,17351.0
618,17354.0
619,17360.0
620,17362.0
621,17363.0
622,17365.0
623,17372.0
624,17373.0
625,17380.0
626,17382.0
627,17388.0
628,17404.0
629,17409.0
630,17414.0
631,17416.0
632,17421.0
633,17422.0
634,17432.0
635,17436.0
636,17442.0
637,17449.0
638,17465.0
639,17469.0
640,17504.0
641,17508.0
642,17515.0
643,17540.0
644,17544.0
645,17545.0
646,17550.0
647,17555.0
648,17560.0
649,17561.0
650,17588.0
651,17589.0
652,17593.0
653,17597.0
654,17604.0
655,17609.0
656,17611.0
657,17615.0
658,17618.0
659,17621.0
660,17623.0
661,17635.0
662,17639.0
663,17642.0
664,17644.0
665,17663.0
666,17667.0
667,17672.0
668,17683.0
669,17692.0
670,17695.0
671,17696.0
672,17700.0
673,17713.0
674,17714.0
675,17716.0
676,17726.0
677,17730.0
678,17738.0
679,17740.0
680,17742.0
681,17758.0
682,17764.0
683,17768.0
684,17769.0
685,17774.0
686,17797.0
687,17799.0
688,17807.0
689,17822.0
690,17829.0
691,17848.0
692,17851.0
693,17852.0
694,17853.0
695,17861.0
696,17862.0
697,17867.0
698,17871.0
699,17876.0
700,17913.0
701,17929.0
702,17930.0
703,17931.0
704,17935.0
705,17974.0
706,17984.0
707,17990.0
708,17994.0
709,17998.0
710,18006.0
711,18008.0
712,18022.0
713,18036.0
714,18037.0
715,18044.0
716,18057.0
717,18062.0
718,18065.0
719,18069.0
720,18095.0
721,18097.0
722,18135.0
723,18145.0
724,18149.0
725,18151.0
726,18154.0
727,18172.0
728,18178.0
729,18181.0
730,18188.0
731,18203.0
732,18220.0
733,18223.0
734,18231.0
735,18236.0
736,18241.0
737,18247.0
738,18276.0
739,18277.0
740,18283.0
741,18287.0
